"Scenario","Model","Method","Prior","STD_v1","STD_v2","STD_v3","ARB_v1","ARB_v2","ARB_v3","RRMSE_v1","RRMSE_v2","RRMSE_v3"
"Equal","T","Hier","Asis",0.200961699641834,0.188074747411482,0.211240163206639,0.0312385051647762,0.0292346274326592,0.035759103601284,0.0400231259116422,0.037484792070429,0.0420400718454823
"Equal","T","Non-Hier","Asis",0.171819769194406,0.212601739194192,0.181612566822166,0.0282747399529645,0.0354994129144304,0.0284997338116062,0.0342876835018472,0.0424648205530347,0.0361951961433602
"Equal","T","Hier","Jeffreys",0.19026574098027,0.185254340187097,0.200257759556905,0.0311648799704223,0.0279401038731376,0.032423092835735,0.0378937336043684,0.0371157515098593,0.0398543921866082
"Equal","T","Non-Hier","Jeffreys",0.201481688304138,0.209772053501288,0.212765950648182,0.0322222402394882,0.0351440030429967,0.0347848987960266,0.0418176211809311,0.042310585248698,0.0427505610105508
"Equal","T","Hier","Pareto",0.198092450095527,0.18518022911439,0.225089528118614,0.0326599023967754,0.0305086211401463,0.0358606269761183,0.0394200014939959,0.0368735608747776,0.0448337527462167
"Equal","T","Non-Hier","Pareto",0.217009830341501,0.180225165791618,0.186669583835905,0.0331659962234254,0.0298582230426431,0.0281721395538787,0.0431871354304921,0.0361001229618344,0.0372994798033198
"Equal","T","Hier","TG",0.219813210608806,0.170904173351862,0.172029758237033,0.0342544271173144,0.0288330947170797,0.0271545778786726,0.0449968985373686,0.0340339353487661,0.0342795116561468
"Equal","T","Non-Hier","TG",0.191636790014752,0.195019878628441,0.209604719467709,0.0308018173275499,0.0302989835734475,0.0341772867537426,0.0381420780911904,0.0388137277091213,0.042644128416046
"Equal","VG","Hier","Asis",0.195553909538744,0.183008045074228,0.189404872829129,0.396332011862402,0.406856259152402,0.397949645857483,0.39823789417347,0.408482920837747,0.399730583255537
"Equal","VG","Non-Hier","Asis",0.20569863285112,0.211888307497967,0.198803452368149,0.392202798348691,0.3962365728092,0.396074829347096,0.394333091895411,0.39847374965462,0.398045693136104
"Equal","VG","Hier","Jeffreys",0.213428688623219,0.209322959727302,0.198697298406519,0.396147028878269,0.3976159237585,0.403410530616479,0.398417268667068,0.399791871408734,0.405343667301555
"Equal","VG","Non-Hier","Jeffreys",0.190638034260859,0.17850060883478,0.208385476379527,0.399396117937904,0.397290559041854,0.398664766081486,0.401193764014471,0.398875346456787,0.400815676069109
"Equal","VG","Hier","Pareto",0.184993801956477,0.217155366562721,0.199536553016755,0.39704096064706,0.396527648353235,0.399371443485145,0.398743957470615,0.398875383367206,0.401340525460119
"Equal","VG","Non-Hier","Pareto",0.212901946286511,0.197336539406626,0.194391713626461,0.401123524116156,0.406551241289897,0.395399125102382,0.403354732528546,0.408443390816698,0.397286896850958
"Equal","VG","Hier","TG",0.210580014655632,0.198997786755061,0.176977820207549,0.400949117712573,0.397600213316712,0.39982707100594,0.403132999294719,0.399567383988205,0.401375141486699
"Equal","VG","Non-Hier","TG",0.19680818987804,0.19673598036869,0.19232271425528,0.400403082790557,0.402795449924651,0.398993871597259,0.402313899668982,0.404693580750274,0.400825193093377
"Unequal","T","Hier","Asis",0.201038542384864,0.198254544413777,0.208547022330258,0.399090951306761,0.203043354253022,0.989901459932477,0.448493697119734,0.23141477035996,1.10397862622484
"Unequal","T","Non-Hier","Asis",0.213352333464299,0.196875726230278,0.208954485301791,0.393531203370147,0.191440921343713,1.00221918568599,0.438952578072507,0.215308331104709,1.12174931382574
"Unequal","T","Hier","Jeffreys",0.185217831362275,0.201644886499737,0.166470514386861,0.401678138531398,0.198904428436261,0.998404725100333,0.447323312151058,0.226715849120591,1.1135908129128
"Unequal","T","Non-Hier","Jeffreys",0.204458631799235,0.209396836852542,0.213140326481798,0.409421331646611,0.195888519855402,0.992988416691455,0.46195071393983,0.220055907132085,1.1079181598177
"Unequal","T","Hier","Pareto",0.195732874961219,0.198605653633153,0.207858192398385,0.407027985615587,0.205022612790541,0.997223049250949,0.457155416380911,0.235935407835595,1.11459033838108
"Unequal","T","Non-Hier","Pareto",0.181077440240631,0.188762148804952,0.194435226655145,0.400292783928858,0.20483195725924,0.996295873485316,0.445369228218362,0.229700854618174,1.11123080617812
"Unequal","T","Hier","TG",0.195689614911863,0.193728006137493,0.205764742236082,0.404531150982551,0.199691199533688,0.997828058756985,0.45378073991295,0.228316699153971,1.11575503949419
"Unequal","T","Non-Hier","TG",0.200756167028184,0.190176676262969,0.193659181562025,0.401358210622733,0.200461380968784,0.997549558179524,0.449795255943003,0.228383235368114,1.11245345646528
"Unequal","VG","Hier","Asis",0.188914121072553,0.200671139372443,0.206998122380343,0.811318761550546,0.196122809754296,0.603317192776448,0.904094760107883,0.222446018199175,0.676046309577596
"Unequal","VG","Non-Hier","Asis",0.189243842015899,0.20360702415571,0.209668327140774,0.805285264101985,0.199716924460842,0.601504937277954,0.894759496747489,0.227831849551761,0.674286415136601
"Unequal","VG","Hier","Jeffreys",0.217401599465424,0.192574414558091,0.204833992995925,0.80970530680369,0.201417683074777,0.603859075692322,0.903928464307913,0.226512015233509,0.673813028782323
"Unequal","VG","Non-Hier","Jeffreys",0.201578581682407,0.218704583316013,0.20704015509,0.807998152609575,0.20412982226761,0.591521901054975,0.902180380156623,0.234406434504316,0.658976223470431
"Unequal","VG","Hier","Pareto",0.174531249312061,0.200615015664618,0.199293782799249,0.806277035454374,0.195156908189106,0.602229693359419,0.900402935798196,0.218606563254544,0.673994921253491
"Unequal","VG","Non-Hier","Pareto",0.210446825137703,0.188573458419924,0.185927605922595,0.803097654950911,0.201000122646926,0.601554033746491,0.897971157163863,0.225029497737221,0.673251166254546
"Unequal","VG","Hier","TG",0.195679128418657,0.204012644470329,0.202217959866242,0.799787538402526,0.188481586221791,0.595631555273308,0.890001818300634,0.208342973433083,0.66609798920285
"Unequal","VG","Non-Hier","TG",0.203742915056661,0.193658406727088,0.219221175016621,0.793114453141713,0.195106005827858,0.595356234515174,0.881084674921436,0.219199432529853,0.663638757038979
